,beam,class,cleaned_text,class_labels
4370,would you like to learn more more men at the tone please record your message when you ve finished recording you may hang up or press one for more options,10,would you like to learn more more men at the tone please record your message when you ve finished recording you may hang up or press one for more options,positive
4396,it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to con to continue recording where you left off press for,10,it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to con to continue recording where you left off press for,positive
4402,i recall is about a new date regulated final events insurance plan which cover one hundred percent of your burial funeral fleet or cremation expenses it is tilly designed for the people on an income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to to continue recording where you left off press for,10,i recall is about a new date regulated final events insurance plan which cover one hundred percent of your burial funeral fleet or cremation expenses it is tilly designed for the people on an income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to to continue recording where you left off press for,positive
4455,when you have finished recording you may hang up or press one for more actions,10,when you have finished recording you may hang up or press one for more actions,positive
4486,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where where you left off press four,10,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where where you left off press four,positive
4488,the message tank great this pile of helene leisure calais finally when the finish riordan with her print on verra funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,10,the message tank great this pile of helene leisure calais finally when the finish riordan with her print on verra funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,positive
4680,your message when you have finished recording you may hang up or press one for more actions,10,your message when you have finished recording you may hang up or press one for more actions,positive
4715,still there if you are satisfied with your message press one to listen to you may that again put to to erase race and re record press three to continue recording where you left,10,still there if you are satisfied with your message press one to listen to you may that again put to to erase race and re record press three to continue recording where you left,positive
4774,missus jo this calling about a new date regulates the female dance in israel and with over a hundred men for burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security a message for some one else would you like to learn more about his connect press star nine or just hang up,10,missus jo this calling about a new date regulates the female dance in israel and with over a hundred men for burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security a message for some one else would you like to learn more about his connect press star nine or just hang up,positive
4778,please record your message age when you have finished recording you may hang up or press one for more options,10,please record your message age when you have finished recording you may hang up or press one for more options,positive
4820,it to listen to your message press one to re record your message press two to continue recording your message press three accept the recording and send send as normal press for except the recording and send as urgent press six accept the recording and send as private press seven,10,it to listen to your message press one to re record your message press two to continue recording your message press three accept the recording and send send as normal press for except the recording and send as urgent press six accept the recording and send as private press seven,positive
4968,this lady may again her about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense on it is it designed for the for the people on figure income or social security hang up or press would you like to learn within we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message presto,10,this lady may again her about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense on it is it designed for the for the people on figure income or social security hang up or press would you like to learn within we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message presto,positive
4995,it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where you where you left off press four,10,it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where you where you left off press four,positive
5003,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where dig where you left off press four,10,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where dig where you left off press four,positive
5056,it or about,10,it or about,positive
5067,you have reached a non working number,10,you have reached a non working number,positive
5110,please press five this call is about a new state regulated final fence insurance plan which covers a hundred percent ppercentof your burial funeral or cremation expenses it is specifically designed for the people on a fixed income or social security would you like to learn more about it incorrect or no pin provided provided call will be terminated,10,please press five this call is about a new state regulated final fence insurance plan which covers a hundred percent ppercentof your burial funeral or cremation expenses it is specifically designed for the people on a fixed income or social security would you like to learn more about it incorrect or no pin provided provided call will be terminated,positive
5126,your call here noted to the voice now for tiffany house no one is available to take your call at the tone please record your message when you ve finished recording you may hang up or press the pound key for more options,10,your call here noted to the voice now for tiffany house no one is available to take your call at the tone please record your message when you ve finished recording you may hang up or press the pound key for more options,positive
5157,you ve reached alliance had care the desk of joyce hickman unfortunately i m either on the phone or away from my desk if this is an emergency please please hang up and call mobile crises are nine one five seven seven nine four zero zero than good by please leave your message down to the town when done,10,you ve reached alliance had care the desk of joyce hickman unfortunately i m either on the phone or away from my desk if this is an emergency please please hang up and call mobile crises are nine one five seven seven nine four zero zero than good by please leave your message down to the town when done,positive
5172,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you where you left off press for,10,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you where you left off press for,positive
5175,sorry but i couldn t get hold of them if there s anything else you d like to let them know go ahead an you go after that,10,sorry but i couldn t get hold of them if there s anything else you d like to let them know go ahead an you go after that,positive
5188,a steeple came not fifty six,10,a steeple came not fifty six,positive
5233,originate the widow you give me back eagerly marcia this college a new state regulated final expense insurance attend which covers one hundred percent of your burial funeral in short remission expended at hand hang up it is specifically designed for the cripple on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press to do it,10,originate the widow you give me back eagerly marcia this college a new state regulated final expense insurance attend which covers one hundred percent of your burial funeral in short remission expended at hand hang up it is specifically designed for the cripple on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press to do it,positive
5296,end recording,10,end recording,positive
5299,can you hear,10,can you hear,positive
5334,to review or re record your message press one to mark your message urgent press two to mark your message private press three to send your message as is press the pound key,10,to review or re record your message press one to mark your message urgent press two to mark your message private press three to send your message as is press the pound key,positive
