,beam,class,cleaned_text,class_labels
275,it no i just want to die in the woods all by myself and be left there i don t want none of your funeral services i completely understand that but these new and fordable plans have just been approved in your state and everyone,8,it no i just want to die in the woods all by myself and be left there i don t want none of your funeral services i completely understand that but these new and fordable plans have just been approved in your state and everyone,not_intrested
284,it i m not a senior,8,it i m not a senior,not_intrested
290,no i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified so our product specialist can,8,no i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified so our product specialist can,not_intrested
291,no thank you i completely understand that but you afford,8,no thank you i completely understand that but you afford,not_intrested
302,it no i wouldn t,8,it no i wouldn t,not_intrested
303,it no no thank you very much i,8,it no no thank you very much i,not_intrested
311,it oh,8,it oh,not_intrested
312,it no age,8,it no age,not_intrested
322,now i say you shall papa i turn i shall live on monday you think that s what it is you i,8,now i say you shall papa i turn i shall live on monday you think that s what it is you i,not_intrested
328,it no i would not i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified so,8,it no i would not i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified so,not_intrested
334,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you more,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you more,not_intrested
336,it no put me on and do not call miss,8,it no put me on and do not call miss,not_intrested
340,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more,8,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more,not_intrested
382,it no more i completely understand that but these new fordable plans have just been approved in your state and everyone qualified it,8,it no more i completely understand that but these new fordable plans have just been approved in your state and everyone qualified it,not_intrested
387,it no i m good thank you i completely understand that but these new and fordable plants,8,it no i m good thank you i completely understand that but these new and fordable plants,not_intrested
389,it no thank you abodes,8,it no thank you abodes,not_intrested
391,it no i completely understand that but these new fordable plans have just been approved in your state and in quality,8,it no i completely understand that but these new fordable plans have just been approved in your state and in quality,not_intrested
401,nothing i completely understand that,8,nothing i completely understand that,not_intrested
402,naturally,8,naturally,not_intrested
403,it till now i,8,it till now i,not_intrested
413,it no i don t plan on dying any time since i m good i,8,it no i don t plan on dying any time since i m good i,not_intrested
421,would not i m in a home i,8,would not i m in a home i,not_intrested
445,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,not_intrested
459,it no i completely understand that but these new fordable plans have just been approved in our state and everyone qualified,8,it no i completely understand that but these new fordable plans have just been approved in our state and everyone qualified,not_intrested
475,it now i completely understand that but these fordable plans,8,it now i completely understand that but these fordable plans,not_intrested
490,it no to qualify you for,8,it no to qualify you for,not_intrested
505,it no thank you i completely understand that but these new and fordable plans,8,it no thank you i completely understand that but these new and fordable plans,not_intrested
509,it no i completely,8,it no i completely,not_intrested
512,it i don t want no life insurance is impossible to collect it,8,it i don t want no life insurance is impossible to collect it,not_intrested
536,it no no thank you know i,8,it no no thank you know i,not_intrested
537,it novelty,8,it novelty,not_intrested
549,it one an none of em i,8,it one an none of em i,not_intrested
552,it i do understand i have been waiting for some of my troubles this year to make a stand i,8,it i do understand i have been waiting for some of my troubles this year to make a stand i,not_intrested
561,it thank you papa i,8,it thank you papa i,not_intrested
589,it i read it i completely understand that,8,it i read it i completely understand that,not_intrested
609,it no i ll be it so completely under don t go,8,it no i ll be it so completely under don t go,not_intrested
614,death o,8,death o,not_intrested
618,it no ma am i m good i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,8,it no ma am i m good i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,not_intrested
623,it no not really in the nation i,8,it no not really in the nation i,not_intrested
631,it no no i completely understand that but the,8,it no no i completely understand that but the,not_intrested
641,hello would you like to learn more about it,8,hello would you like to learn more about it,not_intrested
658,it no i con,8,it no i con,not_intrested
661,it no i don t think so,8,it no i don t think so,not_intrested
666,it to women are not allowed to buy any injuries which something completely understood but it is i m ninety years old so don t they won t sell me none too bad for em but they won t sell,8,it to women are not allowed to buy any injuries which something completely understood but it is i m ninety years old so don t they won t sell me none too bad for em but they won t sell,not_intrested
667,it no ma am i,8,it no ma am i,not_intrested
689,it no because i am a veteran i,8,it no because i am a veteran i,not_intrested
690,it i don t think so i completely understand that but,8,it i don t think so i completely understand that but,not_intrested
691,it no i m already dead i,8,it no i m already dead i,not_intrested
693,it i,8,it i,not_intrested
697,it no i completely understand that too,8,it no i completely understand that too,not_intrested
703,ah no ma am i m good thanks very much i completely understand that,8,ah no ma am i m good thanks very much i completely understand that,not_intrested
714,i don t believe the trouble thank you great,8,i don t believe the trouble thank you great,not_intrested
715,it no i m already covered simply,8,it no i m already covered simply,not_intrested
735,it not i,8,it not i,not_intrested
739,it no thanks i completely understand that but these new and fordable plans have just been approved,8,it no thanks i completely understand that but these new and fordable plans have just been approved,not_intrested
751,it note i,8,it note i,not_intrested
762,it no i don t need to thank you for calling i completely understand that,8,it no i don t need to thank you for calling i completely understand that,not_intrested
765,it no i told you to send a rest home i,8,it no i told you to send a rest home i,not_intrested
771,no,8,no,not_intrested
775,it now i,8,it now i,not_intrested
778,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information formation right now,8,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information formation right now,not_intrested
780,it no i m fine thank you to qualify you for the plan are you bet,8,it no i m fine thank you to qualify you for the plan are you bet,not_intrested
795,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can,8,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can,not_intrested
805,i think i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,8,i think i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,not_intrested
807,about it no plan to die isn t he,8,about it no plan to die isn t he,not_intrested
813,it no thank you good by i,8,it no thank you good by i,not_intrested
853,not really i,8,not really i,not_intrested
857,it no thanks i completely understand that if you knew,8,it no thanks i completely understand that if you knew,not_intrested
859,it no i just i completely understand that but you already got hold that already made,8,it no i just i completely understand that but you already got hold that already made,not_intrested
866,it no thanks i,8,it no thanks i,not_intrested
867,it no case they would i,8,it no case they would i,not_intrested
882,no thank you i completely,8,no thank you i completely,not_intrested
883,i,8,i,not_intrested
894,the natural,8,the natural,not_intrested
896,it i think i completely understand that but these new fordable plans have jested,8,it i think i completely understand that but these new fordable plans have jested,not_intrested
898,him nor would no good day i come sweetly and,8,him nor would no good day i come sweetly and,not_intrested
916,it now i completely understand that,8,it now i completely understand that,not_intrested
931,no i m in pretty good shape right now thank you i,8,no i m in pretty good shape right now thank you i,not_intrested
940,it no i don t need any insurance i,8,it no i don t need any insurance i,not_intrested
951,security i am manners no,8,security i am manners no,not_intrested
958,it mo i,8,it mo i,not_intrested
960,it how do you go,8,it how do you go,not_intrested
966,no fever a power turn i have a pile or turn,8,no fever a power turn i have a pile or turn,not_intrested
972,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you can you,8,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you can you,not_intrested
982,it no ma am i thank you i completely understand them,8,it no ma am i thank you i completely understand them,not_intrested
986,it no no thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,8,it no no thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,not_intrested
988,it well i am late,8,it well i am late,not_intrested
992,now i completely understand that but these new fordable plants,8,now i completely understand that but these new fordable plants,not_intrested
993,her now,8,her now,not_intrested
1009,it no i completely understand that but these new fordable plans have jested,8,it no i completely understand that but these new fordable plans have jested,not_intrested
1029,it no one who you call i completely understand that this new fordable plant,8,it no one who you call i completely understand that this new fordable plant,not_intrested
1031,e no thank you to complete her how,8,e no thank you to complete her how,not_intrested
1032,i m not no senor i m a junior to hear that this call is,8,i m not no senor i m a junior to hear that this call is,not_intrested
1033,it no thank you i can,8,it no thank you i can,not_intrested
1034,i can but i guess,8,i can but i guess,not_intrested
1047,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,not_intrested
1063,only very,8,only very,not_intrested
1071,it no i don t need it i don t need thank you very much i completely understand that but these new fordable plans,8,it no i don t need it i don t need thank you very much i completely understand that but these new fordable plans,not_intrested
1073,it thank you,8,it thank you,not_intrested
1080,i can t do it i make i can t,8,i can t do it i make i can t,not_intrested
1087,it alma to qualify you for the plan are you,8,it alma to qualify you for the plan are you,not_intrested
1094,i m not a senior citizen yet,8,i m not a senior citizen yet,not_intrested
1098,no thank you good night,8,no thank you good night,not_intrested
1110,it no i completely understand that but these new fordable plans have just been approved in your state,8,it no i completely understand that but these new fordable plans have just been approved in your state,not_intrested
1114,it i think nothing,8,it i think nothing,not_intrested
1115,it i don t believe it would help me none would it i,8,it i don t believe it would help me none would it i,not_intrested
1118,it not so now i,8,it not so now i,not_intrested
1133,it no i don t need it i,8,it no i don t need it i,not_intrested
1146,it i completely,8,it i completely,not_intrested
1150,it no i wouldn t i,8,it no i wouldn t i,not_intrested
1155,no i don t need no assurance i,8,no i don t need no assurance i,not_intrested
1159,it no i completely understand that but these new fordable plans have just been approved at fate,8,it no i completely understand that but these new fordable plans have just been approved at fate,not_intrested
1160,it no thank you completely,8,it no thank you completely,not_intrested
1163,it now i completely,8,it now i completely,not_intrested
1181,it i cannot my husband has died and i m trying to figure out what i need to pay immediately like i call that a very horrid,8,it i cannot my husband has died and i m trying to figure out what i need to pay immediately like i call that a very horrid,not_intrested
1209,but i don t think think grape,8,but i don t think think grape,not_intrested
1223,no i completely understand them,8,no i completely understand them,not_intrested
1228,no i really wouldn t then complete,8,no i really wouldn t then complete,not_intrested
1229,it i only thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can,8,it i only thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can,not_intrested
1235,never really now completely understood,8,never really now completely understood,not_intrested
1241,i don t understand,8,i don t understand,not_intrested
1242,it no no no i m good,8,it no no no i m good,not_intrested
1246,it surprise,8,it surprise,not_intrested
1249,it no i completely understand that but these new fordable plans have just been approved in and everyone,8,it no i completely understand that but these new fordable plans have just been approved in and everyone,not_intrested
1255,no i wrote it now at that,8,no i wrote it now at that,not_intrested
1259,it age susan see diana that forge,8,it age susan see diana that forge,not_intrested
1261,it no thank,8,it no thank,not_intrested
1263,i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information formation right now if you like a crisis,8,i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information formation right now if you like a crisis,not_intrested
1267,it no ma am thank you i,8,it no ma am thank you i,not_intrested
1275,not this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the fun o,8,not this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the fun o,not_intrested
1286,it no what colin,8,it no what colin,not_intrested
1295,well i m finn that i do not need any more of citizens care i told of mending people people there new state regulated final expense insurance plan which covered it may send i did not call em five and the cut off dat is eighty five at eighty seven tell me how to get around that would you like to learn more about it yet i m eighty seven given that said cap is eighty five if it without help me to learn more about,8,well i m finn that i do not need any more of citizens care i told of mending people people there new state regulated final expense insurance plan which covered it may send i did not call em five and the cut off dat is eighty five at eighty seven tell me how to get around that would you like to learn more about it yet i m eighty seven given that said cap is eighty five if it without help me to learn more about,not_intrested
1298,am i a fine good bye great,8,am i a fine good bye great,not_intrested
1316,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified everyone cried alas,8,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified everyone cried alas,not_intrested
1323,short i call it,8,short i call it,not_intrested
1340,it no thank you ma am i,8,it no thank you ma am i,not_intrested
1342,it no la la delude men never lose man,8,it no la la delude men never lose man,not_intrested
1347,it i know i wouldn t i completely understand that but you,8,it i know i wouldn t i completely understand that but you,not_intrested
1349,it no i don t believe i,8,it no i don t believe i,not_intrested
1350,it no i completely understand that but these new and portable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part ok i have a sure of that,8,it no i completely understand that but these new and portable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part ok i have a sure of that,not_intrested
1358,it no not at all i,8,it no not at all i,not_intrested
1361,it no not really i,8,it no not really i,not_intrested
1362,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so are proper,8,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so are proper,not_intrested
1366,it no not really if i m not going to die i,8,it no not really if i m not going to die i,not_intrested
1372,it not here,8,it not here,not_intrested
1373,ask,8,ask,not_intrested
1389,it no no thank you i completely understand that but these new fordable plans have just been approved,8,it no no thank you i completely understand that but these new fordable plans have just been approved,not_intrested
1392,it no nor do i completely understand that but these new fordable plans have just been approved in your statement,8,it no nor do i completely understand that but these new fordable plans have just been approved in your statement,not_intrested
1395,it no i completely understand that but i knew a fordable plan,8,it no i completely understand that but i knew a fordable plan,not_intrested
1399,i don t,8,i don t,not_intrested
1408,it marie i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,8,it marie i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,not_intrested
1429,it i thank you,8,it i thank you,not_intrested
1435,don t think so i,8,don t think so i,not_intrested
1439,it no i completely under,8,it no i completely under,not_intrested
1447,it no i completely understand that you are wonderful,8,it no i completely understand that you are wonderful,not_intrested
1461,more about it no thank you i can,8,more about it no thank you i can,not_intrested
1475,it no have a blessed,8,it no have a blessed,not_intrested
1478,i don t know but i ve already talked to you three or four times more in the last week this,8,i don t know but i ve already talked to you three or four times more in the last week this,not_intrested
1481,no completely,8,no completely,not_intrested
1490,it well no retorted i completely under and that what do you magpie,8,it well no retorted i completely under and that what do you magpie,not_intrested
1491,no ma am do not take you i completely,8,no ma am do not take you i completely,not_intrested
1496,no ma am i would not i,8,no ma am i would not i,not_intrested
1501,more about it don i completely uneven as pleased to take me off this,8,more about it don i completely uneven as pleased to take me off this,not_intrested
1504,it now good bye i completely understand that,8,it now good bye i completely understand that,not_intrested
1546,it o,8,it o,not_intrested
1550,it i would not thank you i can,8,it i would not thank you i can,not_intrested
1563,it no i,8,it no i,not_intrested
1567,i do now where you be,8,i do now where you be,not_intrested
1572,no thank you i complete it,8,no thank you i complete it,not_intrested
1576,it no ma am would you please quit paris i m not interested i,8,it no ma am would you please quit paris i m not interested i,not_intrested
1579,no buckin i completely understand that but these new fordable plans have just,8,no buckin i completely understand that but these new fordable plans have just,not_intrested
1603,it no man i,8,it no man i,not_intrested
1636,it no i completely understand that but these new and fordable plans have just been approved in your state and everyone quality,8,it no i completely understand that but these new and fordable plans have just been approved in your state and everyone quality,not_intrested
1640,good but i m not a sailor,8,good but i m not a sailor,not_intrested
1658,no i m not are complete,8,no i m not are complete,not_intrested
1665,it no thank you i completely understand that for these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like you like the prices you can go on otherwise no obligation on your part ok,8,it no thank you i completely understand that for these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like you like the prices you can go on otherwise no obligation on your part ok,not_intrested
1667,it not now i completely understand that but these new fordable plans objected,8,it not now i completely understand that but these new fordable plans objected,not_intrested
1672,it i don t think so i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specially well i m not i m not a senior it citizen and i m still alive so i don t think i really need it,8,it i don t think so i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specially well i m not i m not a senior it citizen and i m still alive so i don t think i really need it,not_intrested
1678,it no i wouldn t thank you i completely,8,it no i wouldn t thank you i completely,not_intrested
1679,i come not in fine you ain t got to call it but i am,8,i come not in fine you ain t got to call it but i am,not_intrested
1690,it no no thank you i,8,it no no thank you i,not_intrested
1699,it no thank you you bet i,8,it no thank you you bet i,not_intrested
1700,it i don t know where are you located,8,it i don t know where are you located,not_intrested
1701,it tension completely,8,it tension completely,not_intrested
1703,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to,not_intrested
1704,no friends,8,no friends,not_intrested
1708,it a night,8,it a night,not_intrested
1710,it lo i completely understand that but these new fordable plant,8,it lo i completely understand that but these new fordable plant,not_intrested
1712,it no i don t think so i hope i m not raised gold yet,8,it no i don t think so i hope i m not raised gold yet,not_intrested
1718,it no i would not i completely understand that but these new fordable plans have just,8,it no i would not i completely understand that but these new fordable plans have just,not_intrested
1731,it here i am by half by my son there,8,it here i am by half by my son there,not_intrested
1735,completely understand that but these new fordable plans have just been approved in your state and every go,8,completely understand that but these new fordable plans have just been approved in your state and every go,not_intrested
1737,it now i really would i,8,it now i really would i,not_intrested
1746,it i know em i,8,it i know em i,not_intrested
1749,i don t think so,8,i don t think so,not_intrested
1752,you appreciate a but,8,you appreciate a but,not_intrested
1760,i made,8,i made,not_intrested
1763,it no thank you i completely understand that,8,it no thank you i completely understand that,not_intrested
1766,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified then we ll talk lo,8,it now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified then we ll talk lo,not_intrested
1777,it you look completely understand that but these new and fordable plans have just,8,it you look completely understand that but these new and fordable plans have just,not_intrested
1780,it no don t have a fixed income and i haven t reached source of security though no not a day thank you later so god bless you i,8,it no don t have a fixed income and i haven t reached source of security though no not a day thank you later so god bless you i,not_intrested
1787,it no no thanks i,8,it no no thanks i,not_intrested
1790,it don t need it thank you i completely understand that but the,8,it don t need it thank you i completely understand that but the,not_intrested
1796,it no i don t need it sorry i completely understand that but these new fordable plans have just been approved,8,it no i don t need it sorry i completely understand that but these new fordable plans have just been approved,not_intrested
1802,it oh no not really,8,it oh no not really,not_intrested
1816,it i ve already talked to them was not completely understand that for these new fordable plans have just been approved in your state and everyone qualified so our product specialist specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part ok ooki m not interested have already talked to somebody thank you anyway,8,it i ve already talked to them was not completely understand that for these new fordable plans have just been approved in your state and everyone qualified so our product specialist specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part ok ooki m not interested have already talked to somebody thank you anyway,not_intrested
1824,now i,8,now i,not_intrested
1832,no doctor i think we ll go i completely understand that but these new fordable plans have just been approved in your face,8,no doctor i think we ll go i completely understand that but these new fordable plans have just been approved in your face,not_intrested
1838,no are you capable enough of making your financial decision,8,no are you capable enough of making your financial decision,not_intrested
1845,no i don t i don t worry about it thank you i,8,no i don t i don t worry about it thank you i,not_intrested
1853,it no really i,8,it no really i,not_intrested
1867,man,8,man,not_intrested
1871,it no i completely understand that but these new fordable plants have dressed now,8,it no i completely understand that but these new fordable plants have dressed now,not_intrested
1879,it no i completely understand that but these new and fordable plans have sat been approved in your state,8,it no i completely understand that but these new and fordable plans have sat been approved in your state,not_intrested
1886,you don t need to show,8,you don t need to show,not_intrested
1905,i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to our product specialist,8,i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to our product specialist,not_intrested
1907,doing plain i don t i don t know i don t get the car old enough america great this call is a state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses all the bed i don t need that not right now would you like to learn more about it,8,doing plain i don t i don t know i don t get the car old enough america great this call is a state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses all the bed i don t need that not right now would you like to learn more about it,not_intrested
1912,it no mamma don t,8,it no mamma don t,not_intrested
1917,it i don t think so,8,it i don t think so,not_intrested
1932,it no i completely understand that but these new fordable plans have just been strewed in your state,8,it no i completely understand that but these new fordable plans have just been strewed in your state,not_intrested
1936,don t have any,8,don t have any,not_intrested
1954,it the man i completely understand that but these new,8,it the man i completely understand that but these new,not_intrested
1970,it no not planning and dying i,8,it no not planning and dying i,not_intrested
1978,it absolutely not not i,8,it absolutely not not i,not_intrested
1980,it no i m very very well acquainted with it i,8,it no i m very very well acquainted with it i,not_intrested
1984,it no thank you i completely understand them,8,it no thank you i completely understand them,not_intrested
1987,no thank you i completely understand that but these new,8,no thank you i completely understand that but these new,not_intrested
1994,thank you i,8,thank you i,not_intrested
2004,it narrowly i,8,it narrowly i,not_intrested
2009,no man i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,8,no man i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,not_intrested
2023,it no that the complete,8,it no that the complete,not_intrested
2026,no i made you are you between the age of thirty one or say that you please,8,no i made you are you between the age of thirty one or say that you please,not_intrested
2029,it in no i completely understand that but these new fordable plans have just been approving it,8,it in no i completely understand that but these new fordable plans have just been approving it,not_intrested
2034,it no i completely understood,8,it no i completely understood,not_intrested
2044,it no i see my daughter and her husband the one directly those men run to by,8,it no i see my daughter and her husband the one directly those men run to by,not_intrested
2047,it now ma thank you,8,it now ma thank you,not_intrested
2049,it no thank you i completely understood,8,it no thank you i completely understood,not_intrested
2050,you,8,you,not_intrested
2053,it no no i completely understand that but these new fordable plans have just,8,it no no i completely understand that but these new fordable plans have just,not_intrested
2054,it is not there is a passage i completely understand that but these new fordable plans have just been approved in time and everyone is he s not dead now i m i m am depart aside,8,it is not there is a passage i completely understand that but these new fordable plans have just been approved in time and everyone is he s not dead now i m i m am depart aside,not_intrested
2059,i completely understand that but these new fordable plans have just been approved in your state and,8,i completely understand that but these new fordable plans have just been approved in your state and,not_intrested
2060,no thanks thanks can i i completely understand that,8,no thanks thanks can i i completely understand that,not_intrested
2061,it no man i come sweetly,8,it no man i come sweetly,not_intrested
2089,it oh no thank you i very myself thanks i,8,it oh no thank you i very myself thanks i,not_intrested
2097,no i don t understand i completely understand that but,8,no i don t understand i completely understand that but,not_intrested
2118,it no i completely understand that but these new and fordable plans have jest,8,it no i completely understand that but these new and fordable plans have jest,not_intrested
2125,it a month,8,it a month,not_intrested
2136,no i completely understand that but these,8,no i completely understand that but these,not_intrested
2141,no i don t thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,8,no i don t thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,not_intrested
2142,no warp i,8,no warp i,not_intrested
2152,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to our product specially here here,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified to our product specially here here,not_intrested
2153,it maybe i m not an official income i m still working by i understand but it s not,8,it maybe i m not an official income i m still working by i understand but it s not,not_intrested
2161,it ah no thank you very much for thinking of it,8,it ah no thank you very much for thinking of it,not_intrested
2163,noemi,8,noemi,not_intrested
2183,it no i can greatly understand that but the,8,it no i can greatly understand that but the,not_intrested
2186,it no thank you i completely understand that but these new fordable plans have rather been approved in your state and ever,8,it no thank you i completely understand that but these new fordable plans have rather been approved in your state and ever,not_intrested
2188,it not ruin,8,it not ruin,not_intrested
2197,don t have anything to say,8,don t have anything to say,not_intrested
2202,no i did refuse that,8,no i did refuse that,not_intrested
2205,me not ttodayi,8,me not ttodayi,not_intrested
2215,it i know i completely,8,it i know i completely,not_intrested
2217,it i completely understand that but the,8,it i completely understand that but the,not_intrested
2239,it not yet you know i often tend to all this and i usually talked to my sons so that let them take care of me i completely understand that so i don t have to worry about it,8,it not yet you know i often tend to all this and i usually talked to my sons so that let them take care of me i completely understand that so i don t have to worry about it,not_intrested
2247,no thank you i completely understand that but,8,no thank you i completely understand that but,not_intrested
2254,it about no,8,it about no,not_intrested
2255,no i don t think so it completely,8,no i don t think so it completely,not_intrested
2260,it no thank you goodbye i,8,it no thank you goodbye i,not_intrested
2265,i don t thank you i ve already got a different plan but he completely understood,8,i don t thank you i ve already got a different plan but he completely understood,not_intrested
2270,it no no i don t no okay i complete we we ve got me an the wife we ve got ours lined up,8,it no no i don t no okay i complete we we ve got me an the wife we ve got ours lined up,not_intrested
2272,it now there is a member i,8,it now there is a member i,not_intrested
2281,it nor have i as with a funeral director i completely understand that but these new fordable plans have just been approved in your state and and e,8,it nor have i as with a funeral director i completely understand that but these new fordable plans have just been approved in your state and and e,not_intrested
2287,no thank you i,8,no thank you i,not_intrested
2298,it no i can only understand my eldest son confess,8,it no i can only understand my eldest son confess,not_intrested
2301,it name,8,it name,not_intrested
2305,it no like the cat,8,it no like the cat,not_intrested
